start,fa,count,n_core,bin_us,n_det_hit,det_frac_max,max_mult,multiplet_frac,f3,pi_med,pi_ge_368,n_acd,n_acd_multi,n_acd_bg,cpd_10us,cpd_100us,cpd_1ms,cpd_10ms,cpd_env,base_zero,base_len,gti_live_s,gti_nominal_s
2022-01-28T21:28:09.147954538Z,1.788e-49,47,47,111.997,20,0.106,1,0.000,0.000,183,0.000,2,0,1249,1,1,2,14,1250,0,25,2.000,2.000
2022-02-11T06:20:11.069054350Z,6.137e-54,57,57,153.765,22,0.088,1,0.000,0.000,221,0.140,4,0,1746,2,3,4,16,1749,0,25,2.000,2.000
2022-02-16T15:26:20.379181027Z,5.579e-45,46,46,138.611,19,0.152,1,0.000,0.000,162,0.000,2,0,1000,1,1,2,13,1002,0,25,2.000,2.000
2022-02-24T14:40:30.288631141Z,2.122e-53,54,54,133.991,22,0.093,1,0.000,0.000,220,0.130,2,0,1137,1,1,3,12,1138,0,25,2.000,2.000
2022-02-28T13:17:17.888942658Z,8.463e-78,63,63,55.134,24,0.079,1,0.000,0.000,207,0.159,4,2,2588,2,2,5,26,2590,0,25,2.000,2.000
2022-03-09T04:37:21.767060190Z,1.155e-294,159,159,81.003,25,0.057,2,0.038,0.000,288,0.296,14,14,1137,14,14,14,25,1150,0,25,2.000,2.000
2022-03-11T04:56:30.603619143Z,3.907e-93,60,60,50.247,22,0.067,2,0.100,0.000,204,0.133,4,3,1076,4,4,4,16,1078,0,25,2.000,2.000
2022-03-15T05:05:54.848296031Z,1.216e-115,116,116,223.160,23,0.086,2,0.017,0.000,179,0.034,3,0,3055,2,2,4,31,3053,0,25,2.000,2.000
2022-03-17T23:01:55.157556638Z,4.481e-147,89,89,64.030,25,0.079,2,0.090,0.000,303,0.281,2,0,1248,1,1,3,16,1247,0,25,2.000,2.000
2022-03-26T20:48:39.097572892Z,3.886e-44,53,53,217.840,22,0.132,1,0.000,0.000,144,0.000,2,0,1255,1,1,2,8,1256,0,25,2.000,2.000
2022-03-27T19:13:33.057778716Z,8.423e-181,134,134,216.991,25,0.075,2,0.045,0.000,228,0.187,5,2,1053,4,4,5,12,1058,0,25,2.000,2.000
2022-03-29T08:56:28.598458707Z,4.578e-62,42,42,38.862,25,0.095,2,0.095,0.000,212,0.048,2,0,763,0,1,3,5,765,0,25,2.000,2.000
2022-03-30T19:35:55.713589325Z,1.980e-150,96,96,80.898,25,0.062,2,0.104,0.000,275,0.323,4,0,1144,2,2,4,13,1146,0,25,2.000,2.000
2022-04-20T09:28:17.865016564Z,3.663e-155,102,102,73.701,21,0.078,2,0.020,0.000,285,0.314,7,5,1812,6,6,8,27,1818,0,25,2.000,2.000
2022-04-20T20:47:17.811263084Z,9.091e-43,44,44,116.840,21,0.114,1,0.000,0.000,162,0.068,1,0,1186,0,0,2,7,1186,0,25,2.000,2.000
2022-05-03T03:38:25.725229337Z,1.748e-61,58,58,149.637,24,0.121,1,0.000,0.000,171,0.103,2,0,1152,1,1,2,10,1154,0,25,2.000,2.000
2022-05-13T20:32:32.156204894Z,2.121e-85,58,58,56.505,25,0.086,2,0.069,0.000,262,0.172,3,0,1379,2,2,4,17,1379,0,25,2.000,2.000
2022-05-13T20:36:38.125585287Z,1.362e-103,73,73,77.829,24,0.110,1,0.000,0.000,258,0.260,0,0,1681,0,0,0,12,1679,0,25,2.000,2.000
2022-05-16T09:40:20.993367090Z,2.250e-57,52,52,128.612,19,0.096,1,0.000,0.000,194,0.077,1,0,761,0,0,2,6,762,0,25,2.000,2.000
2022-05-19T08:22:48.505764603Z,8.202e-131,80,80,66.638,24,0.100,2,0.050,0.000,230,0.138,0,0,649,0,0,0,6,647,0,25,2.000,2.000
2022-05-30T01:18:12.854306459Z,2.527e-63,58,58,159.040,24,0.103,2,0.034,0.000,187,0.086,0,0,721,0,0,0,3,721,0,25,2.000,2.000
2022-06-17T15:10:12.578716367Z,8.379e-57,43,43,45.031,24,0.116,2,0.047,0.000,288,0.209,5,0,1395,2,4,5,19,1397,0,25,2.000,2.000
2022-06-20T09:39:28.717628255Z,3.475e-162,99,99,46.715,25,0.071,1,0.000,0.000,275,0.222,6,6,1293,6,6,6,18,1296,0,25,2.000,2.000
2022-06-24T10:42:13.679483696Z,4.113e-87,80,80,156.805,25,0.100,2,0.025,0.000,201,0.075,3,2,1269,0,0,3,17,1272,0,25,2.000,2.000
2022-06-25T09:09:44.288274526Z,3.798e-59,49,49,69.380,23,0.102,2,0.041,0.000,225,0.041,0,0,1246,0,0,0,8,1244,0,25,2.000,2.000
2022-07-14T05:31:36.812555849Z,1.955e-81,64,64,50.485,23,0.109,2,0.062,0.000,243,0.234,7,0,2639,2,3,8,26,2645,0,25,2.000,2.000
2022-07-20T20:59:28.784031525Z,8.375e-92,75,75,100.061,25,0.093,1,0.000,0.000,280,0.227,1,0,1024,0,0,1,7,1025,0,25,2.000,2.000
2022-07-30T19:47:13.028862208Z,6.402e-105,69,69,57.012,25,0.087,2,0.029,0.000,243,0.072,7,3,702,6,6,7,10,708,0,25,2.000,2.000
2022-08-07T01:54:38.115273848Z,9.890e-111,74,74,73.716,23,0.068,2,0.081,0.000,228,0.149,2,0,661,1,2,2,10,663,0,25,2.000,2.000
2022-08-07T13:18:08.971175968Z,3.284e-138,112,112,151.455,25,0.089,2,0.089,0.000,227,0.125,3,0,1366,3,3,3,12,1369,0,25,2.000,2.000
2022-08-30T11:53:55.534287109Z,4.449e-151,89,89,52.407,25,0.090,2,0.090,0.000,313,0.326,0,0,697,0,0,1,7,695,0,25,2.000,2.000
